Event,Description
Smashing Altars,"Trigger:* Has the DLC Rule Britannia* Follows the Anglican religion* The Anglican religion has existed for less than 50 years* Any owned province:** In the continent Europe** Any of the following:*** Follows the Catholic religion*** Follows the Reformed religion* No owned province:** Has the province modifier ""Anglican Iconoclasm""Base mean time to happen of 1 daysOption ""Smash the altars and imprison papist protesters!"":* Trigger:** Any owned province:*** Follows the Catholic religion*** In the continent Europe* Random owned province:** Limited to:*** In the continent Europe*** Follows the Catholic religion*** The province is not the capital of the country** Changes religion to Anglican** Adds the modifier ""Anglican Iconoclasm"" for 10 years:*** +10 unrestOption ""Destroy only what is undeniably papist."":* Changes church power by 20* Random owned province:** Limited to:*** In the continent capital*** Any of the following:**** Follows the Catholic religion**** Follows the Reformed religion** Adds the modifier ""Anglican Iconoclasm"" for 10 years:*** +10 unrestOption ""Put an end to this iconoclasm."":* Trigger:** The Reformed religion is enabled** Any owned province:*** Follows the Reformed religion* Random owned province:** Limited to:*** Follows the Reformed religion*** In the continent capital** Changes religion to Anglican** Adds the modifier ""Anglican Iconoclasm"" for 10 years:*** +10 unrest"
Catholic Instigators,"Trigger:* Has the DLC Rule Britannia* Follows the Anglican religion* Does not have the idea group Humanist Ideas* Does not have the country modifier ""Priest-Hunters""Base mean time to happen of 1 daysOption ""Conduct a national priest-hunt. Search every house!"":* Adds the modifier ""Priest-Hunters"" for 10 years:** +25% global spy defence* The Papal State:** Adds the opinion modifier ""Angry"" towards our country* Random neighbor country:** Limited to:*** Follows the Catholic religion** Adds the opinion modifier ""Irritated"" towards our countryOption ""Find out where theyre coming from"":* Trigger:** Any neighbor country:*** Follows the Catholic religion* Random neighbor country:** Limited to:*** Follows the Catholic religion** Our country:*** Gets the Diplomatic Insult casus belli against the previous scope"
The Church of $COUNTRY$,"Trigger:* Has the DLC Rule Britannia* The Protestant religion is enabled* Is not the lesser partner in a union* Does not have the country flag ""had_anglican_question""* Is not a vassal* The Protestant religion has existed for at least 15 years* The Anglican religion is not enabled* Is in the Christian religion group* Isnt the defender of the faith* Capital:** Region is Britain* Culture group is British* Any owned province:** Region is Britain** can_have_center_of_reformation_trigger: {*** Follows the Anglican religion* Has at least 10 provinces* Country is not The Papal StateBase mean time to happen of 120 months* Multiplies value by 0.5:** Has the country modifier ""The Statute in Restraint of Appeals""* Multiplies value by 0.8:** Country is England** Great Britain does not exist* Multiplies value by 1.5:** Country is England** Great Britain exists* Multiplies value by 0.8:** Country is Great Britain* Multiplies value by 2:** Does not own core province LondonImmediate effects:* Sets the country flag ""had_anglican_question""Option ""Found a new state Church"":* Trigger:** Has the DLC Rule Britannia* Base AI chance of 75** Multiplies value by 0.01:*** Country is not England*** Country is not Great Britain** Multiplies value by 10000:*** The Papal State:**** Is part of the Holy Roman Empire* Enables the Anglican religion* If:** Limited to:*** Follows the Catholic religion** Adds the opinion modifier ""Upset the Pope"" from The Papal State* Changes religion to Anglican* If:** Limited to:*** Does not have the country flag ""reformation_money""** Modifies treasury by 1.0 years worth of income* If:** Limited to:*** Capital:**** Is not a reformation center** Capital:*** Changes religion to Anglican*** Adds the modifier ""Religious Zeal"" for 24 years:**** -100% missionary strength* Random owned province:** Limited to:*** Follows the Catholic religion** Changes religion to Anglican** Adds the modifier ""Religious Zeal"" for 24 years:*** -100% missionary strength* Adds the modifier ""Religious Zeal"" for 10 years:** +10% global heretic missionary strength** missionary_maintenance_cost: -0.33Option ""Evangelize the new Church to the world!"":* Trigger:** Has the DLC Rule Britannia** current_age: age_of_reformation** No province in the world:*** Is a reformation center*** Follows the Anglican religion* Base AI chance of 0* Enables the Anglican religion* Changes religion to Anglican* If:** Limited to:*** Capital:**** can_have_center_of_reformation_trigger: {***** Follows the Anglican religion** Capital:*** Changes religion to Anglican*** Adds a reform center of the Anglican religion*** Adds the modifier ""Religious Zeal"" for 24 years:**** -100% missionary strength* else: {** Random owned province:*** Limited to:**** can_have_center_of_reformation_trigger: {***** Follows the Anglican religion*** Changes religion to Anglican*** Adds a reform center of the Anglican religion*** Adds the modifier ""Religious Zeal"" for 24 years:**** -100% missionary strength* Random owned province:** Limited to:*** Follows the Catholic religion** Changes religion to Anglican** Adds the modifier ""Religious Zeal"" for 24 years:*** -100% missionary strength* Adds the modifier ""Religious Zeal"" for 10 years:** +10% global heretic missionary strength** missionary_maintenance_cost: -0.33* Modifies treasury by -1 years worth of income* If:** Limited to:*** Follows the Catholic religion** Adds the opinion modifier ""Upset the Pope"" from The Papal State* Every country:** Limited to:*** Capital:**** Any of the following:***** Region is France***** Region is Low Countries***** Region is Britain*** Follows the Catholic religion** Adds the opinion modifier ""Anglican Evangelism"" towards our country* Adds the modifier ""Anglican Evangelism"" for 10 years:** -3 diplomatic reputationOption ""This sounds like a poor basis for a religion."":* Base AI chance of 25** Multiplies value by 0:*** Any of the following:**** is_excommunicated: yes**** Has the country modifier ""The Statute in Restraint of Appeals""**** The Papal State does not exist* There will not be another opportunity to convert to Anglicanism."
Nonconformist Monarch,"Trigger:* Has the DLC Rule Britannia* Follows the Anglican religion* Has the Monarchy government type* ruler_religion: ROOT* Does not have the country modifier ""Nonconformist Monarch""Base mean time to happen of 1 daysOption ""This will be a difficult adjustment."":* Changes church power by -50* Adds the modifier ""Nonconformist Monarch"" for 10 years:** -100% church power gain rate** -2 tolerance of the true faithOption ""The monarch must be Anglican."":* set_ruler_religion: anglican* Changes prestige by -25* Adds the modifier ""Nonconformists Angered"" for 10 years:** -2 tolerance of heretics"
Spread of Pestilence,"Trigger:* Any bordering province:** Has the province modifier ""Lingering Plague""* Province owner:** Is at warBase mean time to happen of 100 monthsOption ""Curse this war..."":* Adds the modifier ""Lingering Plague"" for 3 years:** -50% supply limit** -50% manpower modifier** -50% provincial tax income** -50% trade goods output"
Cruelty of Mercenaries,"Trigger:* Is at war* num_of_hired_mercenary_companies: 1* Does not have the country modifier ""Curtailed Mercenaries""* any_hired_mercenary_company: {** In the province null*** The province is not owned by our country*** Province owner:**** At war with our country*** area_for_scope_province: {**** The province is owned by the previous scope**** Controlled by our countryBase mean time to happen of 240 monthsImmediate effects:* Hidden effect:** random_hired_mercenary_company: {*** Limited to:**** In the province null***** The province is not owned by our country***** Province owner:****** At war with our country***** area_for_scope_province: {****** The province is owned by the previous scope****** Controlled by our country*** save_event_target_as: hired_mercenary_band*** In the province null**** save_event_target_as: war_provinceOption ""We should prevent this from happening in the future."":* add_army_professionalism: 0.02* Adds the modifier ""Curtailed Mercenaries"" for 5 years:** +30% mercenary maintenance** +10% mercenary costOption ""Bellum se ipsum alet! Let them take what they want."":* Changes prestige by -10* event_target:war_province: {** Hidden effect:*** Has a 25 percent chance to happen:**** Gets the province event aow_events.13** area: {*** Limited to:**** Controlled by our country**** The province is not owned by our country*** Adds the modifier ""Terrorized by Mercenaries"" for 3 years:**** +8 unrest"
Mercenary Bands Raid [Root.GetAreaName],"Trigger:* area_for_scope_province: {** The province is owned by our country** Controlled by from** Has the province modifier ""Terrorized by Mercenaries""** Does not have the province modifier ""Plundered in War""Option ""Greed corrupts mens hearts..."":* area: {** Limited to:*** Not controlled by our country*** The province is owned by our country** Adds the modifier ""Plundered in War"" for 3 years:*** -50% provincial tax income*** -50% manpower modifier"
Displaced Refugees from [Root.GetName],"Trigger:* Any of the following:** Has the province modifier ""Lingering Plague""** Has the province modifier ""Plundered in War""** Has the province modifier ""Famine Refused Aid""* Has a base tax of at least 2* Province owner:** Is not at warBase mean time to happen of 480 monthsOption ""The war may be over, but our troubles are not."":* Changes the provinces base tax by -1* Random bordering province:** Limited to:*** The province is owned by our country** Changes the provinces base tax by 1"
The Families Left Behind,"Trigger:* Manpower reserves are less than 10% of maximum* Most recent war was less than 3 years ago* Is not at war* Does not have the country modifier ""Post-War Tax Relief""* Does not have the country modifier ""Decreased Drafting""* Does not have the country modifier ""Suffering Bereaved""Base mean time to happen of 240 monthsOption ""We can ease the tax burden on the bereaved."":* Adds the modifier ""Post-War Tax Relief"" for 5 years:** -15% global tax modifierOption ""Let us be more lenient drafting for the army in the future."":* Adds the modifier ""Decreased Drafting"" for 5 years:** -20% global manpower modifierOption ""This is the price that must be paid for our glorious nation."":* Adds the modifier ""Suffering Bereaved"" for 5 years:** +2 global unrest"
Witchcraft,"Trigger:* Any of the following:** Has the province modifier ""Lingering Plague""** Has the province modifier ""Plundered in War""** Has the province modifier ""Famine Refused Aid""* Does not have the province modifier ""Local Witch Hunts""* Province owner:** Is not at war** Is in the Christian religion group** Does not have the country modifier ""Forbade Witch Hunts""** Does not have the country modifier ""Nationwide Witch Hunts""Base mean time to happen of 480 months* Multiplies value by 0.75:** Province owner:*** Has the Theocracy government type* Multiplies value by 0.75:** Any of the following:*** current_age: age_of_discovery*** current_age: age_of_reformation* Multiplies value by 2:** current_age: age_of_revolutionsOption ""Allow them to proceed with the local trials."":* Adds the modifier ""Local Witch Hunts"" for 10 years:** -3 unrest** Local autonomy is at least 0.1 percent* Hidden effect:** Gets the province event aow_events.17** Gets the province event aow_events.18Option ""$INQUISITOR$ can see to these matters in a more organized fashion."":* Trigger:** Province owner:*** Has the Inquisitor advisor* Province owner:** Adds the modifier ""Nationwide Witch Hunts"" for 10 years:*** +2% global missionary strength*** -1 global unrest*** -3 tolerance of heretics*** -3 tolerance of heathensOption ""Such foolish superstitions have no place in [Root.Owner.GetName]!"":* Province owner:** Adds the modifier ""Forbade Witch Hunts"" for 10 years:*** +2 global unrest"
Witch-hunt,"Trigger:* Has the province modifier ""Local Witch Hunts""* Province owner:** Is not at warOption ""Cease this madness!"":* Province owner:** Changes administrative power stored by -80* Removes the country modifier ""Local Witch Hunts""Option ""Intervene on behalf of the nobles."":* Spawns revolt of size 1 of Peasant rebelsOption ""Intervene on behalf of the commoners."":* Spawns revolt of size 1 of Noble rebelsOption ""Let them exact justice as they see fit."":* Trigger:** The province is not the capital of the country** Local autonomy is lower than 80 percent* Changes local autonomy by 25"
A Witch from Foreign Lands,"Trigger:* Has the province modifier ""Local Witch Hunts""* Province owner:** Is not at war** Any neighbor country:*** Any owned province:**** province_distance: {***** Affecting our country***** distance: 150Immediate effects:* Hidden effect:** Province owner:*** Random neighbor country:**** Limited to:***** Any owned province:****** province_distance: {******* Affecting our country******* distance: 120**** save_event_target_as: they_send_us_witchesOption ""This fear of the unfamiliar must be stopped."":* Province owner:** Changes administrative power stored by -50Option ""Witches, spies, who know what theyre up to?"":* event_target:they_send_us_witches: {** Adds the opinion modifier ""Accused Compatriot of Witchcraft"" towards the previous scope"
A Highly Troubling Accusation,"Trigger:* Has the country modifier ""Nationwide Witch Hunts""* Has the Inquisitor advisor* Any of the following:** Has the Statesman advisor** Has the Trader advisor** Has the Spymaster advisor** Has the Diplomat advisorBase mean time to happen of 240 monthsOption ""Thou shalt not suffer a witch to live."":* Kills the Statesman advisor* Kills the Trader advisor* Kills the Spymaster advisor* Kills the Diplomat advisorOption ""Thou shalt not bear false witness against thy neighbor."":* Kills the Inquisitor advisor* Removes the country modifier ""Nationwide Witch Hunts"""
The Fires of Hell,"Trigger:* Has the country modifier ""Nationwide Witch Hunts""* Has the Inquisitor advisor* Heir is at least 6 years old* Heir is less than 16 years oldBase mean time to happen of 240 monthsOption ""The child is right. We have been blinded by our zeal."":* Removes the Inquisitor advisor* Removes the country modifier ""Nationwide Witch Hunts""* Changes diplomatic power stored by 100Option ""Hush child, and hope no one heard that..."":* Changes administrative power stored by 100* Changes the heirs legitimacy by -10"
Unknown Shooter,"Trigger:* 10 war exhaustion* War score is at least 10* Is not the lesser partner in a union* Ruler is leading an army* any_army: {** is_ruler_commanding_unit: yes* Is at war* Any known country:** In a defensive war against our country* Military technology is at least 9Base mean time to happen of 240 months* Multiplies value by 0.75:** 15 war exhaustionOption ""We may never know."":* Kills the ruler of the country* Changes war exhaustion by -5"
A Change of Character,"Trigger:* 8 war exhaustion* Is not at war* Rulers military skill is at least 2* Rulers diplomatic skill is less than 6* Has the Diplomat advisorBase mean time to happen of 240 months* Multiplies value by 0.75:** 15 war exhaustionOption ""You are right, [Root.GetName] needs peace."":* Changes rulers diplomatic skill by 1* Changes rulers military skill by -1Option ""Forsake the spirit that called me to war? Ridiculous."":* Removes the Diplomat advisor* Changes diplomatic power stored by -50"
The Faithful in Enemy Lands,"Trigger:* Is at war* Any known country:** At war with our country** Any owned province:*** Under siege by our country*** Follows our countrys religion*** Does not follow the provinces owners religion*** Is in the provinces owners religion group*** is_religious_center_province: yes*** Does not have the province modifier ""Religious Center""Immediate effects:* Hidden effect:** Random province in the world:*** Limited to:**** Under siege by our country**** Follows our countrys religion**** Does not follow the provinces owners religion**** Is in the provinces owners religion group**** is_religious_center_province: yes**** Does not have the province modifier ""Religious Center""*** save_event_target_as: war_provinceBase mean time to happen of 400 monthsOption ""Spare the faithful."":* event_target:war_province: {** Changes siege status by -2Option ""No mercy for enemies of [Root.GetName]!"":* event_target:war_province: {** Tooltip:*** Changes religion to the provinces owners religion** Gets the province event aow_events.24"
[Root.GetName] Betrayed by Brothers in Faith,"Option ""We will show them the [Root.Owner.Religion.GetName] faith has more integrity than that."":* Changes religion to the provinces owners religion"
Unbelievers in [Root.GetName] Waver,"Trigger:* Province owner:** Is at war* Not controlled by the provinces owner* Not controlled by Rebels* Does not follow the provinces owners religion* Is cored by the provinces controller* Follows the provinces controllers religionBase mean time to happen of 640 months* Multiplies value by 1.5:** At least 0 tolerance of the provinces faith* Multiplies value by 2.0:** At least 1 tolerance of the provinces faithOption ""We will reward loyalty with respect."":* Trigger:** The province is not the capital of the country* Changes local autonomy by 30Option ""We will not accept disloyalty."":* Tooltip:** Gives the provinces controller a core on the province* Province controller:** Gets the event aow_events.26"
[Root.Religion.GetName] Defectors,"Option ""We may be able to accommodate them..."":* Country/province sending the event:** Gives the provinces controller a core on the province"
[Root.Religion.GetName] Betrayal in [Root.GetName]!,"Trigger:* Does not follow the provinces owners religion* Controlled by the provinces owner* Lower than 0 tolerance of the provinces faith* Province owner:** Is at war** Any known country:*** At war with the previous scope*** Follows our countrys religionBase mean time to happen of 800 monthsOption ""Faith determines the path of all, even the wicked."":* Spawns revolt of size 2 of Religious rebels"
"Struggle Without, Struggle Within","Trigger:* Does not follow the provinces owners religion* Controlled by the provinces owner* Province owner:** Is at war** Any known country:*** At war with the previous scope*** Follows our countrys religion* is_religious_center_province: yes* Does not have the province modifier ""Religious Center""* Any bordering province:** The province is owned by our country** Follows the provinces owners religion** Is not a reformation center** is_religious_center_province: yes** Does not have the province modifier ""Religious Center""Base mean time to happen of 800 monthsImmediate effects:* Hidden effect:** Random bordering province:*** Limited to:**** The province is owned by our country**** Follows the provinces owners religion**** Is not a reformation center**** is_religious_center_province: yes**** Does not have the province modifier ""Religious Center""*** save_event_target_as: neighbour_provinceOption ""Like the war, this conflict must take its course."":* goto: neighbour_province* Province owner:** Changes national manpower reserves by -4000* One of the following will happen:** StraГџburg:*** Changes religion to the provinces owners religion** Gotland:*** event_target:neighbour_province: {**** Changes religion to our countrys religionOption ""Unite against the true enemy! You are all [Root.Owner.GetAdjective]!"":* Province owner:** Changes diplomatic power stored by -50"
Country Before Faith,"Trigger:* Province owner:** Any rival country:*** Follows our countrys religion** Does not have the country modifier ""Loyal Unbelievers""** Does not have the country modifier ""Disloyal Unbelievers""* Does not follow the provinces owners religionBase mean time to happen of 1600 monthsOption ""We will trust them to remain loyal to us."":* One of the following will happen:** StraГџburg:*** Province owner:**** Adds the modifier ""Loyal Unbelievers"" for 5 years:***** +30% spy offense** Gotland:*** Province owner:**** Adds the modifier ""Disloyal Unbelievers"" for 5 years:***** -30% global spy defenceOption ""There is no need for such underhanded tactics... or risks."":* Province owner:** Changes prestige by 10"
Warriors of the [Root.Religion.GetName] Faith,"Trigger:* Follows the provinces owners religion* Does not follow the Confucian religion* Does not follow the Theravada religion* Does not follow the Mahayana religion* The province is not under siege* Controlled by the provinces owner* Any bordering province:** Province owner:*** Is in an offensive war with our country*** Does not follow our countrys religion** Follows the provinces owners religion** Controlled by the provinces ownerBase mean time to happen of 1000 monthsOption ""Forward, sentinels of the truth!"":* Spawns an infantry unit belonging to our country* Spawns an infantry unit belonging to our country* Spawns an infantry unit belonging to our country* Spawns an infantry unit belonging to our country"
Early Reformers,"Trigger:* Any owned province:** Is a reformation center* Is in the Christian religion group* Any neighbor country:** Doesnt have the opinion modifier Reformation Pioneers with our country** Follows our countrys religion** Any owned province:*** Is a reformation center*** Follows our countrys religion* The Protestant religion has existed for less than 50 yearsBase mean time to happen of 300 monthsOption ""Together we will spread Gods true message!"":* Random neighbor country:** Limited to:*** Doesnt have the opinion modifier Reformation Pioneers with our country*** Follows our countrys religion*** Any owned province:**** Is a reformation center**** Follows our countrys religion** Adds the opinion modifier ""Reformation Pioneers"" towards our countryOption ""The Church of [Root.GetName] stands alone."":* Changes prestige by 15"
Neither [Root.Religion.GetName] nor Catholic,"Trigger:* Any of the following:** Follows the Protestant religion** Follows the Reformed religion** Follows the Anglican religion** Follows the Hussite religion* Any owned province:** Is a reformation center* Any neighbor country:** Any of the following:*** Follows the Protestant religion*** Follows the Reformed religion*** Follows the Anglican religion*** Follows the Hussite religion** Does not follow our countrys religion** Any owned province:*** Is a reformation center*** Does not follow our countrys religionBase mean time to happen of 240 monthsOption ""We will stand with them against the Pope, if they stand with us."":* Random neighbor country:** Limited to:*** Any of the following:**** Follows the Protestant religion**** Follows the Reformed religion**** Follows the Anglican religion**** Follows the Hussite religion*** Does not follow our countrys religion*** Any owned province:**** Is a reformation center**** Does not follow our countrys religion** Gets the event aow_events.33Option ""They spread lies, merely different lies."":* Random neighbor country:** Limited to:*** Any of the following:**** Follows the Protestant religion**** Follows the Reformed religion**** Follows the Anglican religion**** Follows the Hussite religion*** Does not follow our countrys religion*** Any owned province:**** Is a reformation center**** Does not follow our countrys religion** Adds the opinion modifier ""Renounced as Heretics"" towards our country"
[From.Religion.GetName] Neighbors Reach Out,"Option ""Together, we can return Christianity to what it was meant to be."":* Changes prestige by 10* Adds the opinion modifier ""Reformation Pioneers"" towards from* Country/province sending the event:** Gets the event aow_events.34Option ""The last thing we need is theological confusion in our own ranks."":* Changes administrative power stored by 20* Adds the opinion modifier ""Renounced as Heretics"" towards from* Country/province sending the event:** Gets the event aow_events.35"
[From.Religion.GetName] Neighbors Accept,"Option ""The pious of [Root.GetName] and [From.GetName] will remember this day."":* Changes prestige by 10* Adds the opinion modifier ""Reformation Pioneers"" towards from"
[From.Religion.GetName] Neighbors Reject Our Charity,"Option ""Do they not know to love their neighbor as themselves?"":* Changes prestige by -15"
Heretics Encroach On Our Land,"Trigger:* Has the country modifier ""Counter-Reformation""* Follows the Catholic religion* Any neighbor country:** Any of the following:*** Follows the Protestant religion*** Follows the Reformed religion*** Follows the Anglican religion*** Follows the Hussite religion** Any owned province:*** Is a reformation center* Any owned province:** Any of the following:*** Follows the Protestant religion*** Follows the Reformed religion*** Follows the Anglican religion*** Follows the Hussite religionBase mean time to happen of 480 monthsOption ""No, we can see all too well what must be done."":* Random neighbor country:** Limited to:*** Any of the following:**** Follows the Protestant religion**** Follows the Reformed religion**** Follows the Anglican religion*** Any owned province:**** Is a reformation center** Gives the Border Friction casus belli against the country to our countryOption ""We can certainly pretend to."":* Changes prestige by -10* Changes diplomatic power stored by 50"
The Cause of the Protestant Plague,"Trigger:* Religious rebels have are spawned in the country* Follows the Catholic religion* Any neighbor country:** Follows the Protestant religion** Any owned province:*** Is a reformation centerBase mean time to happen of 240 monthsOption ""They better have an answer for us!"":* Random neighbor country:** Limited to:*** Follows the Protestant religion*** Any owned province:**** Is a reformation center** Gets the event aow_events.39Option ""Let us not stir up more trouble over this."":* Changes prestige by -10"
The Cause of the Calvinist Plague,"Trigger:* Religious rebels have are spawned in the country* Follows the Catholic religion* Any neighbor country:** Follows the Reformed religion** Any owned province:*** Is a reformation centerBase mean time to happen of 240 monthsOption ""They better have an answer for us!"":* Random neighbor country:** Limited to:*** Follows the Reformed religion*** Any owned province:**** Is a reformation center** Gets the event aow_events.39Option ""Let us not stir up more trouble over this."":* Changes prestige by -10"
