** Trigger:
*** Country is 0 "Mali
*** Stability is lower than 0
*** Year is less than 1550
*** Owns 0 "Trarza
*** Owns 0 "Cayor
*** Owns 0 "Wolof
*** Owns 0 "Siine
*** 0 "Jolof does not exist
*** Does not have the DLC Origins
** Mean time to happen
*** Base mean time to happen of 36 months
** Option: 0 "Mali's decline ends here!:
*** AI chance:
**** Base chance of 90
*** 0 "Trarza:
**** Spawns 2 revolt size of nationalist rebels
*** 0 "Cayor:
**** Spawns 2 revolt size of nationalist rebels
*** 0 "Wolof:
**** Spawns 2 revolt size of nationalist rebels
*** 0 "Siine:
**** Spawns 2 revolt size of nationalist rebels
** Option: 0 "We can make some concessions...:
*** AI chance:
**** Base chance of 10
*** Release 0 "Jolof as a vassal
* Gets the province event:
** ID is flavor_mal.2
** title = flavor_mal.2.t
** desc = flavor_mal.2.d
** picture = HORDE_ON_HORSEBACK_eventPicture
** fire_only_once = yes
** Trigger:
*** Province is 0 "Kantor
*** 0 "Fulo does not exist
*** Year is at least 1470
*** tekrur_area:
**** Is uncolonized
** Mean time to happen
*** Base mean time to happen of 36 months
** Immediate effects:
*** Hidden effect:
**** Every province in the world:
***** Limited to:
****** Any of the following:
******* area = tekrur_area
******* Province is 0 "Trarza
******* Province is 0 "Bambuk
******* Province is 0 "Kantor
******* Province is 0 "Termes
******* Province is 0 "Wagadu
******* Province is 0 "Baghena
***** Gives 0 "Fulo core on the province
***** If:
****** Limited to:
******* The owner of the province:
******** Does not have the country flag fulani_info_flag
****** The owner of the province:
******* Gets the country event:
******** ID is flavor_mal.3
******* Sets the country flag fulani_info_flag
***** Every province in the world:
****** Limited to:
******* Any of the following:
******** area = tekrur_area
******** Province is 0 "Trarza
******** Province is 0 "Bambuk
******** Province is 0 "Kantor
******** Province is 0 "Termes
******** Province is 0 "Wagadu
******** Province is 0 "Baghena
******* Is colonized
****** Adds the modifier "mal_fulani_migration" until the end of the campaign:
******* local_unrest = 5
****** Changes culture to fulani
***** baghena_area:
****** Limited to:
******* Culture is fulani
****** If:
******* Limited to:
******** Has core on 0 "Segu
******** The province is not owned by 0 "Segu
******* Removes core on 0 "Segu
****** Gives 0 "Macina core on the province
** Option: flavor_mal.2.a:
*** Every province in the world:
**** Limited to:
***** Any of the following:
****** area = tekrur_area
****** Province is 0 "Trarza
****** Province is 0 "Bambuk
****** Province is 0 "Kantor
****** Province is 0 "Termes
****** Province is 0 "Wagadu
****** Province is 0 "Baghena
***** Is uncolonized
**** Cedes province to 0 "Fulo
*** Hidden effect:
**** 0 "Fulo:
***** Spawns a ruler:
****** Named "Koli Tengella"
****** Ruler's dynasty is Denianke
****** Changes ruler's military skill by 4
****** Legitimacy of 100
***** If:
****** Limited to:
******* Has the DLC Rights of Man
****** add_ruler_personality_ancestor:
******* Named "conqueror"
***** adopt_reform_progress = our country
***** Capital:
****** build_to_forcelimit:
******* Spawns an infantry unit in 0.7
******* Spawns a cavalry unit in 0.3
** desc = flavor_mal.6.d
** picture = MUSLIM_ANIMIST_DISPUTE_eventPicture
** fire_only_once = yes
** Trigger:
*** Country is 0 "Mali
*** Is in the 0 "Muslim religion group
** Mean time to happen
*** Base mean time to happen of 12 months
** Option: flavor_mal.6.a:
*** Changes piety by 15%
*** If:
**** Limited to:
***** has_completed_all_reforms_trigger_false = yes
**** add_reform_progress_small_effect = yes
*** Adds the modifier "mal_islamisation_of_the_aristocracy" for the rest of the campaign:
**** +1% global missionary strength
**** -1 tolerance of heathens
*** If:
**** Limited to:
***** Has the DLC Origins
**** Hidden effect:
***** Sets the country flag mal_decide_for_conversion
** Option: flavor_mal.6.b:
*** add_stability_or_adm_power = yes
*** Changes piety by -15%
*** If:
**** Limited to:
***** Has the DLC Origins
**** Hidden effect:
***** Sets the country flag mal_decide_for_tolerance
* Gets the country event:
** ID is flavor_mal.7
** title = flavor_mal.7.t
** desc = flavor_mal.7.d
** picture = VILLAGE_BURNING_eventPicture
** fire_only_once = yes
** Trigger:
*** Country is 0 "Mali
*** Year is at least 1480
*** Year is less than 1550
*** Any of the following:
**** Is a neighbor of 0 "Fulo
**** Any owned province:
***** Has the province modifier "mal_fulani_migration"
** Mean time to happen
*** Base mean time to happen of 210 months
** Immediate effects:
*** Hidden effect:
**** Random owned province:
***** Limited to:
****** The province is not the capital of the country
****** Any bordering province:
******* The province is not the capital of the country
***** Sets the province flag mali_roads_unsafe
**** Random owned province:
***** Limited to:
****** The province is not the capital of the country
****** Any bordering province:
******* The province is not the capital of the country
****** Does not have the province flag mali_roads_unsafe
***** Sets the province flag mali_roads_unsafe
**** Random owned province:
***** Limited to:
****** The province is not the capital of the country
****** Any bordering province:
******* The province is not the capital of the country
****** Does not have the province flag mali_roads_unsafe
***** Sets the province flag mali_roads_unsafe
**** Random owned province:
***** Limited to:
****** The province is not the capital of the country
****** Any bordering province:
******* The province is not the capital of the country
****** Does not have the province flag mali_roads_unsafe
***** Sets the province flag mali_roads_unsafe
**** Random owned province:
***** Limited to:
****** The province is not the capital of the country
****** Any bordering province:
******* The province is not the capital of the country
****** Does not have the province flag mali_roads_unsafe
***** Sets the province flag mali_roads_unsafe
** Option: flavor_mal.7.a:
*** AI chance:
**** Base chance of 40
*** Every owned province:
**** Limited to:
***** Has the province flag mali_roads_unsafe
**** add_local_autonomy = 60
**** Adds the modifier "mal_unsafe_roads" until the end of the campaign:
***** local_unrest = 4
***** -50% trade goods output
**** Removes the province flag mali_roads_unsafe
** Option: flavor_mal.7.b:
*** AI chance:
**** Base chance of 20
*** Changes administrative power stored by -100
*** Every owned province:
**** Limited to:
***** Has the province flag mali_roads_unsafe
**** Adds the modifier "mal_unsafe_roads" until the end of the campaign:
***** local_unrest = 4
***** -50% trade goods output
**** Removes the province flag mali_roads_unsafe
** Option: flavor_mal.7.c:
*** AI chance:
**** Base chance of 40
*** Every owned province:
**** Limited to:
***** Has the province flag mali_roads_unsafe
**** Adds the modifier "mal_unsafe_roads" until the end of the campaign:
***** local_unrest = 4
***** -50% trade goods output
**** Removes the province flag mali_roads_unsafe
* Gets the country event:
** ID is flavor_mal.8
** title = flavor_mal.8.t
** desc = flavor_mal.8.d
** picture = CIVIL_WAR_eventPicture
** fire_only_once = yes
** Trigger:
*** Country is 0 "Mali
*** 0 "Kaabu does not exist
*** Year is at least 1475
*** Is in the 0 "Muslim religion group
*** Any owned province:
**** Has core on 0 "Kaabu
**** Culture is 0 "Senegambian
**** Follows the 0 "Fetishist religion
**** The province is not the capital of the country
*** Does not have the country flag mal_appeased_kaabu
** Mean time to happen
*** Base mean time to happen of 450 months
*** Multiplies value by 0.7:
**** Any owned province:
***** Has core on 0 "Kaabu
***** Has the province modifier "mal_unsafe_roads"
*** Multiplies value by 0.7:
**** Any owned province:
***** Has core on 0 "Kaabu
***** Has the province modifier "mal_portuguese_meddling"
*** Multiplies value by 0.7:
**** Has the country modifier "mal_islamisation_of_the_aristocracy"
*** Multiplies value by 0.7:
**** has_disaster = decline_of_mali
** Immediate effects:
*** Hidden effect:
**** Random owned province:
***** Limited to:
****** Has core on 0 "Kaabu
****** Culture is 0 "Senegambian
****** Follows the 0 "Fetishist religion
****** The province is not the capital of the country
***** Sets the province flag centre_of_kaabu_rebelion
**** Sets the country flag kaabu_broke_into_rebelion
** Option: flavor_mal.8.a:
*** AI chance:
**** Base chance of 90
*** Every owned province:
**** Limited to:
***** Has core on 0 "Kaabu
***** Culture is 0 "Senegambian
***** not:
****** Has the province flag centre_of_kaabu_rebelion
**** Spawns revolt of size 1 of 0 "Separatists rebels
*** Random owned province:
**** Limited to:
***** Has the province flag centre_of_kaabu_rebelion
**** Spawns revolt of size 2 of 0 "Separatists rebels
**** Removes the province flag centre_of_kaabu_rebelion
** Option: flavor_mal.8.b:
*** AI chance:
**** Base chance of 10
*** Release 0 "Kaabu as a vassal
*** 0 "Kaabu:
**** Spawns a ruler:
***** Named "Sama Koli"
***** Ruler's dynasty is Jeenung
***** Legitimacy of 100
* Gets the country event:
** ID is flavor_mal.9
** title = flavor_mal.9.t
** desc = flavor_mal.9.d
** picture = MALI_DECLINE_eventPicture
** is_triggered_only = yes
** major = yes
** Immediate effects:
*** Hidden effect:
**** Changes stability by -1
**** Sets the country flag started_decline_of_mali
** Option: flavor_mal.9.a:
*** Tooltip:
**** Changes stability by -1
*** AI chance:
**** Base chance of 1
* Gets the country event:
** ID is flavor_mal.10
** title = flavor_mal.10.t
** desc = flavor_mal.10.d
** picture = MALI_RULER_eventPicture
** is_triggered_only = yes
** major = yes
** Immediate effects:
*** Hidden effect:
**** Sets the country flag had_decline_of_mali
**** Removes the country flag started_decline_of_mali
**** Removes the country flag mal_disaster_province_attempted_independence
**** Removes the country flag mal_disaster_independence_attempt
**** Removes the country flag mal_disaster_had_vassal_punishment
**** Removes the country flag mal_disaster_peasants_rose
**** Removes the country flag mal_disaster_had_scandal
**** Every owned province:
***** Limited to:
****** Any of the following:
******* Has the province modifier "mal_nobles_take_over"
******* Has the province modifier "mal_burghers_take_over"
***** Removes the country modifier "mal_nobles_take_over"
***** Removes the country modifier "mal_burghers_take_over"
**** Removes the country modifier "mal_radical_clergy"
**** Removes the country modifier "mal_radical_dhimmi"
**** Removes the country modifier "mal_the_declining_authority_of_mali"
** Option: flavor_mal.10.a:
*** Changes administrative power stored by 100
*** Changes diplomatic power stored by 100
*** Changes military power stored by 100
*** AI chance:
**** Base chance of 1
* Gets the country event:
** ID is flavor_mal.11
** title = flavor_mal.11.t
** desc = flavor_mal.11.d
** picture = AFRICAN_BAD_WITH_MONARCH_eventPicture
** goto = mal_pretender_province
** is_triggered_only = yes
** Trigger:
*** has_disaster = decline_of_mali
*** Does not have the country flag mal_disaster_no_pretender_events
*** Any owned province:
**** Region is niger_region
**** Controlled by our country
*** Any of the following:
**** has_ruler_flag_false = mal_had_pretender_rebels_in_life
**** had_ruler_flag:
***** flag = mal_had_pretender_rebels_in_life
***** Base mean time to happen of 7300 days
*** Has had the country flag "started_decline_of_mali" for at least 3650 days
** Immediate effects:
*** Hidden effect:
**** set_saved_name:
***** Named "mal_pretender"
**** Random owned province:
***** Limited to:
****** Region is niger_region
****** Controlled by our country
***** save_event_target_as = mal_pretender_province
***** Spawns revolt of size 2 of 0 "Pretender rebels
**** clr_ruler_flag = mal_had_pretender_rebels_in_life
**** set_ruler_flag = mal_had_pretender_rebels_in_life
** Option: flavor_mal.11.a:
*** Tooltip:
**** event_target:mal_pretender_province:
***** Spawns revolt of size 2 of 0 "Pretender rebels
* Gets the country event:
** ID is flavor_mal.12
** title = flavor_mal.12.t
** desc = flavor_mal.12.d
** picture = AFRICAN_REVOLT_eventPicture
** goto = mal_disaster_estate_province
** is_triggered_only = yes
** Trigger:
*** Any owned province:
**** is_state = yes
**** Does not have the province modifier "mal_nobles_take_over"
*** Does not have the country flag mal_disaster_no_estate_events
*** has_estate = estate_nobles
*** estate_influence:
**** estate = estate_nobles
**** influence = 30
*** estate_loyalty:
**** estate_false = estate_nobles
**** loyalty_false = 40
** Immediate effects:
*** Hidden effect:
**** Random owned province:
***** Limited to:
****** is_state = yes
****** Does not have the province modifier "mal_nobles_take_over"
***** save_event_target_as = mal_disaster_estate_province
** Option: flavor_mal.12.a:
*** AI chance:
**** Base chance of 1
*** event_target:mal_disaster_estate_province:
**** Spawns revolt of size 1 of 0 "Noble rebels
*** add_estate_loyalty:
**** estate = estate_nobles
**** loyalty = -10
** Option: flavor_mal.12.b:
*** AI chance:
**** Base chance of 0
*** event_target:mal_disaster_estate_province:
**** area:
***** Limited to:
****** The province is owned by our country
***** add_local_autonomy = 15
**** Adds the modifier "mal_nobles_take_over" until the end of the campaign:
***** min_local_autonomy = 0.9
***** local_unrest = 2
*** add_estate_loyalty:
**** estate = estate_nobles
**** loyalty = 5
*** change_estate_land_share:
**** estate = estate_nobles
**** share = 2
* Gets the country event:
** ID is flavor_mal.13
** title = flavor_mal.13.t
** desc = flavor_mal.13.d
** picture = AFRICAN_REVOLT_eventPicture
** goto = mal_disaster_estate_province
** is_triggered_only = yes
** Trigger:
*** Any owned province:
**** is_state = yes
**** Follows our country's religion
*** Does not have the country flag mal_disaster_no_estate_events
*** has_estate = estate_church
*** estate_influence:
**** estate = estate_church
**** influence = 30
*** Is in the 0 "Muslim religion group
*** estate_loyalty:
**** estate_false = estate_church
**** loyalty_false = 40
*** Does not have the country modifier "mal_radical_clergy"
** Immediate effects:
*** Hidden effect:
**** Random owned province:
***** Limited to:
****** is_state = yes
****** Follows our country's religion
***** save_event_target_as = mal_disaster_estate_province
** Option: flavor_mal.13.a:
*** AI chance:
**** Base chance of 1
*** event_target:mal_disaster_estate_province:
**** spawn_country_religious_rebels:
***** size = 1
*** add_estate_loyalty:
**** estate = estate_church
**** loyalty = -10
*** If:
**** Limited to:
***** has_estate = estate_dhimmi
**** add_estate_loyalty:
***** estate = estate_dhimmi
***** loyalty = 5
** Option: flavor_mal.13.b:
*** AI chance:
**** Base chance of 0
*** Adds the modifier "mal_radical_clergy" for 5 years:
**** -3 tolerance of heathens
**** dhimmi_loyalty_modifier = -0.2
*** change_estate_land_share:
**** estate = estate_church
**** share = 2
*** add_estate_loyalty:
**** estate = estate_church
**** loyalty = 5
*** If:
**** Limited to:
***** has_estate = estate_dhimmi
**** add_estate_loyalty:
***** estate = estate_dhimmi
***** loyalty = -10
* Gets the country event:
** ID is flavor_mal.14
** title = flavor_mal.14.t
** desc = flavor_mal.14.d
** picture = AFRICAN_REVOLT_eventPicture
** goto = mal_disaster_estate_province
** is_triggered_only = yes
** Trigger:
*** Any owned province:
**** is_state = yes
**** Does not follow our country's religion
*** Does not have the country flag mal_disaster_no_estate_events
*** Does not have the country modifier "mal_radical_dhimmi"
*** Is in the 0 "Muslim religion group
*** has_estate = estate_dhimmi
*** estate_influence:
**** estate = estate_dhimmi
**** influence = 30
*** estate_loyalty:
**** estate_false = estate_dhimmi
**** loyalty_false = 40
** Immediate effects:
*** Hidden effect:
**** Random owned province:
***** Limited to:
****** is_state = yes
****** Does not follow our country's religion
***** save_event_target_as = mal_disaster_estate_province
** Option: flavor_mal.14.a:
*** AI chance:
**** Base chance of 1
*** event_target:mal_disaster_estate_province:
**** spawn_province_religious_rebels:
***** size = 1
*** add_estate_loyalty:
**** estate = estate_dhimmi
**** loyalty = -10
*** If:
**** Limited to:
***** has_estate = estate_church
**** add_estate_loyalty:
***** estate = estate_church
***** loyalty = 5
** Option: flavor_mal.14.b:
*** AI chance:
**** Base chance of 0
*** event_target:mal_disaster_estate_province:
**** area:
***** Limited to:
****** The province is owned by our country
***** add_local_autonomy = 15
*** Adds the modifier "mal_radical_dhimmi" for 5 years:
**** -3 tolerance of the true faith
**** church_loyalty_modifier = -0.2
*** change_estate_land_share:
**** estate = estate_dhimmi
**** share = 2
*** add_estate_loyalty:
**** estate = estate_dhimmi
**** loyalty = 5
*** If:
**** Limited to:
***** has_estate = estate_church
**** add_estate_loyalty:
***** estate = estate_church
***** loyalty = -10
* Gets the country event:
** ID is flavor_mal.15
** title = flavor_mal.15.t
** desc = flavor_mal.15.d
** picture = AFRICAN_REVOLT_eventPicture
** goto = mal_disaster_estate_province
** is_triggered_only = yes
** Trigger:
*** Any owned province:
**** is_state = yes
**** Does not have the province modifier "mal_burghers_take_over"
*** Does not have the country flag mal_disaster_no_estate_events
*** has_estate = estate_burghers
*** estate_influence:
**** estate = estate_burghers
**** influence = 30
*** estate_loyalty:
**** estate_false = estate_burghers
**** loyalty_false = 40
** Immediate effects:
*** Hidden effect:
**** Random owned province:
***** Limited to:
****** is_state = yes
****** Does not have the province modifier "mal_burghers_take_over"
***** save_event_target_as = mal_disaster_estate_province
** Option: flavor_mal.15.a:
*** AI chance:
**** Base chance of 1
*** event_target:mal_disaster_estate_province:
**** Spawns revolt of size 1 of 0 "Particularist rebels
*** add_estate_loyalty:
**** estate = estate_burghers
**** loyalty = -10
** Option: flavor_mal.15.b:
*** AI chance:
**** Base chance of 0
*** event_target:mal_disaster_estate_province:
**** area:
***** Limited to:
****** The province is owned by our country
***** add_local_autonomy = 15
**** Adds the modifier "mal_burghers_take_over" until the end of the campaign:
***** trade_goods_size_modifier = -1
***** local_unrest = 2
*** add_estate_loyalty:
**** estate = estate_burghers
**** loyalty = 5
*** change_estate_land_share:
**** estate = estate_burghers
**** share = 2
* Gets the country event:
** ID is flavor_mal.16
** title = flavor_mal.16.t
** desc = flavor_mal.16.d
** picture = AFRICAN_REVOLT_eventPicture
** goto = mal_disaster_independent_province
** is_triggered_only = yes
** Trigger:
*** Any owned province:
**** Any country with provinces cored by this nation:
***** Is a neighbor of our country
*** Does not have the country flag mal_appeased_kaabu
*** Any of the following:
**** Does not have the country flag mal_disaster_province_attempted_independence
**** Has had the country flag "mal_disaster_province_attempted_independence" for at least 2920 days
** Immediate effects:
*** Hidden effect:
**** Removes the country flag mal_disaster_province_attempted_independence
**** Sets the country flag mal_disaster_province_attempted_independence
**** Random owned province:
***** Limited to:
****** Any country with provinces cored by this nation:
******* Is a neighbor of our country
***** Random country with provinces cored by this nation:
****** Limited to:
******* Is a neighbor of our country
****** save_event_target_as = mal_original_owner
**** Random owned province:
***** Limited to:
****** Has core on event_target:mal_original_owner
***** save_event_target_as = mal_disaster_independent_province
** Option: flavor_mal.16.a:
*** AI chance:
**** Base chance of 1
*** event_target:mal_disaster_independent_province:
**** Spawns revolt of size 1 of 0 "Separatists rebels
** Option: flavor_mal.16.b:
*** AI chance:
**** Base chance of 0
*** event_target:mal_disaster_independent_province:
**** Cedes province to event_target:mal_original_owner
*** Changes prestige by -10
* Gets the country event:
** ID is flavor_mal.17
** title = flavor_mal.17.t
** desc = flavor_mal.17.d
** picture = AFRICAN_REVOLT_eventPicture
** goto = mal_disaster_province_of_kbu
** is_triggered_only = yes
** fire_only_once = yes
** Trigger:
*** 0 "Kaabu does not exist
*** Any owned province:
**** Has core on 0 "Kaabu
*** Does not have the country flag mal_appeased_kaabu
*** Any of the following:
**** Does not have the country flag mal_disaster_independence_attempt
**** Has had the country flag "mal_disaster_independence_attempt" for at least 2190 days
*** Has had the country flag "started_decline_of_mali" for at least 730 days
** Immediate effects:
*** Hidden effect:
**** Removes the country flag mal_disaster_independence_attempt
**** Sets the country flag mal_disaster_independence_attempt
**** Random owned province:
***** Limited to:
****** Has core on 0 "Kaabu
***** save_event_target_as = mal_disaster_province_of_kbu
** Option: flavor_mal.17.a:
*** AI chance:
**** Base chance of 1
*** event_target:mal_disaster_province_of_kbu:
**** Spawns revolt of size 4 of 0 "Separatists rebels
** Option: flavor_mal.17.b:
*** AI chance:
**** Base chance of 0
*** Release 0 "Kaabu as a vassal
* Gets the country event:
** ID is flavor_mal.18
** title = flavor_mal.18.t
** desc = flavor_mal.18.d
** picture = AFRICAN_REVOLT_eventPicture
** goto = mal_disaster_province_of_jol
** is_triggered_only = yes
** fire_only_once = yes
** Trigger:
*** 0 "Jolof does not exist
*** Any owned province:
**** Has core on 0 "Jolof
*** Does not have the country flag mal_appeased_kaabu
*** Any of the following:
**** Does not have the country flag mal_disaster_independence_attempt
**** Has had the country flag "mal_disaster_independence_attempt" for at least 2190 days
** Immediate effects:
*** Removes the country flag mal_disaster_independence_attempt
*** Sets the country flag mal_disaster_independence_attempt
*** Hidden effect:
**** Random owned province:
***** Limited to:
****** Has core on 0 "Jolof
***** save_event_target_as = mal_disaster_province_of_jol
** Option: flavor_mal.18.a:
*** AI chance:
**** Base chance of 1
*** event_target:mal_disaster_province_of_jol:
**** Spawns revolt of size 4 of 0 "Separatists rebels
** Option: flavor_mal.18.b:
*** AI chance:
**** Base chance of 0
*** Release 0 "Jolof as a vassal
* Gets the country event:
** ID is flavor_mal.19
** title = flavor_mal.19.t
** desc = flavor_mal.19.d
** picture = AFRICAN_REVOLT_eventPicture
** goto = mal_disaster_province_of_jnn
** is_triggered_only = yes
** fire_only_once = yes
** Trigger:
*** 0 "Jenné does not exist
*** Any owned province:
**** Has core on 0 "Jenné
*** Does not have the country flag mal_appeased_kaabu
*** Any of the following:
**** Does not have the country flag mal_disaster_independence_attempt
**** Has had the country flag "mal_disaster_independence_attempt" for at least 2190 days
** Immediate effects:
*** Hidden effect:
**** Removes the country flag mal_disaster_independence_attempt
**** Sets the country flag mal_disaster_independence_attempt
**** Random owned province:
***** Limited to:
****** Has core on 0 "Jenné
***** save_event_target_as = mal_disaster_province_of_jnn
** Option: flavor_mal.19.a:
*** AI chance:
**** Base chance of 1
*** event_target:mal_disaster_province_of_jnn:
**** Spawns revolt of size 4 of 0 "Separatists rebels
** Option: flavor_mal.19.b:
*** AI chance:
**** Base chance of 0
*** Release 0 "Jenné as a vassal
* Gets the country event:
** ID is flavor_mal.20
** title = flavor_mal.20.t
** desc = flavor_mal.20.d
** picture = AFRICAN_REVOLT_eventPicture
** goto = mal_disaster_province_of_kng
** is_triggered_only = yes
** Trigger:
*** 0 "Kong does not exist
*** Any owned province:
**** Has core on 0 "Kong
*** Does not have the country flag mal_appeased_kaabu
*** Any of the following:
**** Does not have the country flag mal_disaster_independence_attempt
**** Has had the country flag "mal_disaster_independence_attempt" for at least 2190 days
** Immediate effects:
*** Hidden effect:
**** Removes the country flag mal_disaster_independence_attempt
**** Sets the country flag mal_disaster_independence_attempt
**** Random owned province:
***** Limited to:
****** Has core on 0 "Kong
***** save_event_target_as = mal_disaster_province_of_kng
** Option: flavor_mal.20.a:
*** AI chance:
**** Base chance of 1
*** event_target:mal_disaster_province_of_kng:
**** Spawns revolt of size 4 of 0 "Separatists rebels
** Option: flavor_mal.20.b:
*** AI chance:
